0,1,2,3,4
J0034-0534,74,0,1620,210
J0034-0534,103,0,250,120
J0034-0534,436,0,17,5
J0034-0534,660,0,5.5,0.5
J0034-0534,1400,0,0.61,0.09
J0034-0534,1660,0,0.56,0.09
J0218+4232,102,0,270,150
J0218+4232,410,0,24,7
J0218+4232,410,0,20,10
J0218+4232,909,0,8,5
J0218+4232,610,0,15,7
J0218+4232,610,0,11,3
J0218+4232,1410,0,0.9,0.2
J0218+4232,1410,0,0.9,0.2
J0218+4232,34.5,0,40000,10000
J0218+4232,74,0,2940,360
J0218+4232,151,0,660,330
J0218+4232,325,0,113,4
J0218+4232,325,0,150,50
J0218+4232,608,0,26,7.8
J0218+4232,1400,0,1.5,0.5
J1810+1744,74,0,1090,150
J1810+1744,350,0,20,4
J1816+4510,74,0,11,11
J1843-1113,74,0,820,194
J1843-1113,1400,0,0.1,0.02
J1903+0327,74,0,440,100
J1903+0327,1400,0,1.3,0.4
J1903+0327,2000,0,0.62,0.05
J1903+0327,5000,0,0.09,0.02
J1939+2134,74,0,17940,2150
J1939+2134,700,0,63,19
J1939+2134,1400,0,13,5
J1939+2134,2695,0,2,0.4
J1939+2134,3000,0,1.6,0.7
J1939+2134,4850,0,1,0.2
J1939+2134,8350,0,0.039,0.015
J1959+2048,74,0,1880,240
J1959+2048,318,0,60,40
J1959+2048,430,0,26,13
J1959+2048,606,0,8,5
J1959+2048,1490,0,0.4,0.2
J1959+2048,1400,0,0.4,0.2
